code	text	kind	evidence
F002	一	kanji	font+context
F004	二	kanji	font+context
F006	三	kanji	font+context
F008	四	kanji	font+context
F00A	五	kanji	font+context
F00C	六	kanji	font+context
F00E	七	kanji	font+context
F010	八	kanji	font+context
F012	九	kanji	font+context
F014	十	kanji	font+context
F016	百	kanji	font+context
F01A	万	kanji	font+context
F01C	剣	kanji	font+context
F01E	盾	kanji	font+context
F020	腕	kanji	font+context
F022	食	kanji	font+context
F024	矢	kanji	font+context
F026	草	kanji	font+context
F02A	巻	kanji	font+context
F02C	壺	kanji	font+context
F02E	杖	kanji	font+context
F030	物	kanji	font+context
F032	輪	kanji	font+context
F036	風	kanji	title+context
F038	来	kanji	title+context
F03A	満	kanji	font+context
F03C	月	kanji	font+context
F03E	魔	kanji	title+context
F040	城	kanji	title+context
F042	姫	kanji	font+context
F044	砂	kanji	title+context
F046	漠	kanji	title+context
F04A	装	kanji	font+context
F04C	説	kanji	font+context
F04E	明	kanji	font+context
F050	冒	kanji	font+context
F052	険	kanji	font+context
F054	出	kanji	font+context
F056	日	kanji	font+context
F058	記	kanji	font+context
F05A	消	kanji	font+context
F05C	名	kanji	font+context
F05E	前	kanji	font+context
F060	変	kanji	font+context
F062	番	kanji	font+context
F064	付	kanji	font+context
F066	回	kanji	font+context
F068	想	kanji	font+context
F06A	妖	kanji	font+context
F06C	続	kanji	font+context
F06E	道	kanji	font+context
F070	具	kanji	font+context
F072	終	kanji	font+context
F074	金	kanji	font+context
F076	到	kanji	font+context
F078	着	kanji	font+context
F07A	地	kanji	font+context
F07C	扇	kanji	font
F080	雷	kanji	font+context
F082	度	kanji	font+context
F084	強	kanji	font+context
F086	力	kanji	font+context
F088	経	kanji	font+context
F08A	験	kanji	font+context
F08C	値	kanji	font+context
F08E	旅	kanji	font+context
F090	投	kanji	font+context
F092	置	kanji	font+context
F094	読	kanji	font+context
F096	見	kanji	font+context
F098	飲	kanji	font+context
F09A	肉	kanji	font+context
F09C	専	kanji	font+context
F09E	用	kanji	font+context
F0A0	遊	kanji	font+context
F0A2	安	kanji	font+context
F0A4	暗	kanji	font+context
F0A6	遠	kanji	font+context
F0A8	屋	kanji	font+context
F0AA	下	kanji	font+context
F0AC	家	kanji	font+context
F0AE	会	kanji	font+context
F0B0	閣	kanji	font+context
F0B2	顔	kanji	font+context
F0B4	期	kanji	font+context
F0B6	帰	kanji	font+context
F0B8	気	kanji	font+context
F0BA	丘	kanji	font+context
F0BC	急	kanji	font+context
F0BE	玉	kanji	font+context
F0C0	近	kanji	font+context
F0C2	苦	kanji	font+source-context
F0C4	決	kanji	font+context
F0C6	血	kanji	font+context
F0C8	元	kanji	font+context
F0CA	言	kanji	font+context
F0CC	古	kanji	font+context
F0CE	光	kanji	font+context
F0D0	口	kanji	font+context
F0D2	向	kanji	font+context
F0D4	広	kanji	font+context
F0D6	行	kanji	font+context
F0D8	黒	kanji	font+context
F0DA	今	kanji	font+context
F0DC	落	kanji	font+context
F0DE	当	kanji	font+context
F0E0	再	kanji	font+context
F0E2	財	kanji	font+context
F0E6	子	kanji	font+context
F0E8	思	kanji	font+context
F0EA	止	kanji	font+context
F0EC	事	kanji	font+context
F0EE	持	kanji	font+context
F0F0	時	kanji	font+context
F0F2	次	kanji	font+context
F0F4	自	kanji	font+context
F0F6	邪	kanji	font+context
F0F8	主	kanji	font+context
F0FA	守	kanji	font+context
F0FC	首	kanji	font+context
F0FE	所	kanji	font+context
F100	助	kanji	font+context
F102	上	kanji	font+context
F104	場	kanji	font+context
F106	心	kanji	font+context
F108	神	kanji	font+context
F10A	人	kanji	font+context
F10C	声	kanji	font+context
F10E	先	kanji	font+context
F110	像	kanji	font+context
F112	足	kanji	font+context
F114	体	kanji	font+context
F116	対	kanji	font+source-context
F118	待	kanji	font+context
F11A	大	kanji	font+context
F11C	男	kanji	font+context
F11E	知	kanji	font+context
F120	中	kanji	font+context
F122	町	kanji	font+context
F124	長	kanji	font+context
F126	追	kanji	font+context
F128	通	kanji	font+context
F12A	天	kanji	font+context
F12C	店	kanji	font+context
F12E	東	kanji	font+context
F130	教	kanji	font+context
F132	動	kanji	font+context
F134	入	kanji	font+context
F136	配	kanji	font+context
F138	尾	kanji	font+context
F13A	匹	kanji	font+context
F13C	母	kanji	font+context
F13E	分	kanji	font+context
F140	平	kanji	font+context
F142	歩	kanji	font+context
F144	宝	kanji	font+context
F146	方	kanji	font+context
F148	本	kanji	font+context
F14A	民	kanji	font+context
F14C	命	kanji	font+context
F14E	面	kanji	font+context
F150	目	kanji	font+context
F152	門	kanji	font+context
F154	夜	kanji	font+context
F156	役	kanji	font+context
F158	立	kanji	font+context
F15A	竜	kanji	font+context
F15C	領	kanji	font+context
F15E	路	kanji	font+context
F160	話	kanji	font+context
F162	火	kanji	font+context
F164	甲	kanji	font+context
F166	剛	kanji	font+context
F168	重	kanji	font+context
F16A	迅	kanji	font+context
F16C	成	kanji	font+context
F16E	有	kanji	font+context
F170	鉄	kanji	font+context
F172	刀	kanji	font+context
F174	{F174=明}	kanji	font+context
F178	秘	kanji	font+context
F17A	必	kanji	font+context
F17C	復	kanji	font+context
F180	木	kanji	font+context
F182	%	symbol	font+context
F184	土	kanji	font+context
F186	生	kanji	font+context
F188	形	kanji	font+context
F18A	号	kanji	font+context
F18C	花	kanji	font+context
F18E	奈	kanji	font+context
F190	果	kanji	font+context
F192	水	kanji	font+context
F194	（	symbol	font+context
F196	）	symbol	font+context
F198	<quoteOpen>	token	font+context
F19A	<quoteClose>	token	font+context
F19E	合	kanji	font+context
F1A0	太	kanji	font+context
F1A2	斧	kanji	font+context
F1AA	斬	kanji	font+source-context
F1AC	毒	kanji	font+context
F1AE	包	kanji	font+context
F1B0	丁	kanji	font+context
F1B2	鬼	kanji	font+source-context
F1B4	切	kanji	font+context
F1B6	数	kanji	font+context
F1B8	牢	kanji	font+source-context
F1BA	閉	kanji	font+context
F1BC	部	kanji	font+context
F1BE	石	kanji	font+context
F1C0	垣	kanji	font+context
F1C2	内	kanji	font+context
F1C4	奥	kanji	font+context
F1C6	外	kanji	font+context
F1C8	廟	kanji	font+context
F1CA	之	kanji	font+source-context
F1CC	丸	kanji	font+context
F1CE	間	kanji	font+context
F1D0	小	kanji	font+context
F1D2	壁	kanji	font+source-context
F1D4	濁	kanji	font+context
F1D6	修	kanji	font+source-context
F1D8	羅	kanji	font+source-context
F1DA	銀	kanji	font+context
F1DC	最	kanji	font+context
F1DE	闇	kanji	font+source-context
F1E0	深	kanji	font+source-context
F1E2	後	kanji	font+source-context
F1E4	扉	kanji	font+context
F1E6	眠	kanji	font+source-context
F1E8	穴	kanji	font+context
F1EA	鍛	kanji	font+context
F1EC	冶	kanji	font+context
F1F4	洞	kanji	font+source-context
F1F6	窟	kanji	font+source-context
F1F8	救	kanji	font+source-context
F1FA	手	kanji	font+context
F1FC	朝	kanji	font+context
F1FE	流	kanji	font+context
F200	真	kanji	font+source-context
F204	伝	kanji	font+context
F206	{F206=血}	kanji	font+source-context
F208	洗	kanji	font+source-context
F20A	鍋	kanji	font+source-context
F20C	係	kanji	font+source-context
F20E	級	kanji	font+source-context
F210	料	kanji	font+source-context
F212	理	kanji	font+source-context
F214	炎	kanji	font+context
F216	幻	kanji	font+source-context
F218	初	kanji	font+source-context
F21A	盤	kanji	font
F21C	師	kanji	font+source-context
F21E	<cracked>	token	font+item-test-context
F220	信	kanji	font+context
F222	兵	kanji	font+context
F224	<speaker>	token	font+context
F226	<speakerEnd>	token	font+context
F228	郵	kanji	font+source-context
F22A	便	kanji	font+source-context
F22C	住	kanji	font+source-context
F22E	電	kanji	font+source-context
F230	京	kanji	font+source-context
F232	都	kanji	font+source-context
F234	新	kanji	font+context
F236	宿	kanji	font+source-context
F238	区	kanji	font+source-context
F23A	株	kanji	font+source-context
F23C	送	kanji	font+source-context
F23E	{F23E=着}	kanji	font+source-context
F240	〒	symbol	font+postal-context
F244	特	kanji	font+source-context
F246	代	kanji	font+context
F248	遺	kanji	font+context
F24A	跡	kanji	font+context
F24C	<passwordLeft>	token	font+menu-context
F24E	<passwordRight>	token	font+menu-context
F250	竹	kanji	font
F252	世	kanji	font+context
F254	界	kanji	font+context
