id	sections	family	draft
193:$4192	combat_and_dungeon_messages	damage	Hit <lookup:19:C5> for <cF3><copy:01:1B:C5> damage.
193:$41AC	combat_and_dungeon_messages	damage	Dealt <copy:01:19:C5> damage.
193:$41C0	combat_and_dungeon_messages	damage	<lookup:19:C5> took <cF3><copy:01:1B:C5> damage.
193:$41D9	combat_and_dungeon_messages	damage	<lookup:19:C5><cF3> hit you for<cF3> <copy:01:1B:C5> damage.
193:$41F3	combat_and_dungeon_messages	damage	Took <copy:01:19:C5> damage.
193:$4206	combat_and_dungeon_messages	damage	The staff dealt <cF3><copy:01:19:C5> damage.
193:$4222	combat_and_dungeon_messages	attack_outcomes	<name> collapsed.
193:$422E	combat_and_dungeon_messages	attack_outcomes	<lookup:19:C5><cF3> collapsed.<page>
193:$423E	combat_and_dungeon_messages	attack_outcomes	But it revived as<cF3> <lookup:19:C5>!
193:$4253	combat_and_dungeon_messages	attack_outcomes	<lookup:19:C5><cF3> beat<cF3> <lookup:1B:C5>.
193:$4266	combat_and_dungeon_messages	attack_outcomes	Defeated<cF3> <lookup:19:C5>.
193:$4272	combat_and_dungeon_messages	attack_outcomes	<lookup:19:C5><cF3> missed.
193:$4284	combat_and_dungeon_messages	attack_outcomes	Dodged the attack by<cF3> <lookup:19:C5>.
193:$4296	combat_and_dungeon_messages	attack_outcomes	A critical hit!
193:$42A1	combat_and_dungeon_messages	attack_outcomes	A brutal hit!
193:$42AC	combat_and_dungeon_messages	attack_outcomes	A super critical hit!
193:$42BA	combat_and_dungeon_messages	attack_outcomes	<lookup:19:C5><cF3> reflected the attack!
193:$42CF	combat_and_dungeon_messages	attack_outcomes	<lookup:19:C5><cF3> turned the effect<cF3> into damage!
193:$42E8	combat_and_dungeon_messages	experience_and_levels	Gained <copy:03:19:C5><cF3> experience points.
193:$42FE	combat_and_dungeon_messages	experience_and_levels	<name> reached<cF3> Level <copy:01:19:C5>.
193:$4311	combat_and_dungeon_messages	experience_and_levels	<name> fell to<cF3> Level <copy:01:19:C5>.
193:$4324	combat_and_dungeon_messages	experience_and_levels	You're already strong enough.
193:$4333	combat_and_dungeon_messages	experience_and_levels	Your level can't go any lower.
193:$4345	combat_and_dungeon_messages	experience_and_levels	<lookup:19:C5><cF3> leveled up into<cF3> <lookup:1B:C5>.
193:$435E	combat_and_dungeon_messages	experience_and_levels	<lookup:19:C5><cF3> leveled down into<cF3> <lookup:1B:C5>.
193:$4377	combat_and_dungeon_messages	experience_and_levels	<lookup:19:C5><cF3> grew a little stronger.
193:$4389	combat_and_dungeon_messages	experience_and_levels	<lookup:19:C5><cF3> is already strong enough.
193:$439F	combat_and_dungeon_messages	experience_and_levels	<lookup:19:C5>'s level<cF3> can't go any lower.
193:$43B8	combat_and_dungeon_messages	experience_and_levels	<lookup:19:C5><cF3> grew a little weaker.
193:$43CA	combat_and_dungeon_messages	experience_and_levels	<lookup:19:C5><cF3> reached<cF3> Level <copy:01:1B:C5>.
