id	sections	draft
195:$5593	story_and_event_dialogue	Koppa: Ugh... Maybe we should've taken the long way around after all...<delay:60><box>Koppa: We need to get through here, fast...
195:$55CF	story_and_event_dialogue	Koppa: Whoa!
195:$55D8	story_and_event_dialogue	Koppa: Cough! Ptooey! What a nasty sandstorm...
195:$55F2	story_and_event_dialogue	<box>
195:$55F4	story_and_event_dialogue	Koppa: Hey!<delay:1E><br><name>!<delay:1E> Stay with me!<delay:3C>
195:$560F	story_and_event_dialogue	Koppa: Hey... Hang...<delay:1E> in there...
195:$562F	story_and_event_dialogue	Dragon Guard: I heard you captured someone who collapsed in the desert.<page><box>Dragon Guard: How are they doing?<page><box><delay:1E>Rookie Guard: No change.<page><box><delay:1E>Dragon Guard: I doubt they're much of a threat, but let's be safe.<page><box>Dragon Guard: Keep a close eye on them.<page><box><delay:1E>Rookie Guard: Sir!<page><box>
195:$56DA	story_and_event_dialogue	Koppa: They put these things on us...<page><box>Who the heck are those guys? Damn it!<page><box>
195:$5705	story_and_event_dialogue	Koppa: No good. They won't come off.<page><box>
195:$5718	story_and_event_dialogue	???: Hurry... Run...<page><box>
195:$5728	story_and_event_dialogue	Koppa: Who was that girl...?<page><box>
195:$573F	story_and_event_dialogue	Koppa: ...Anyway, we'd better get out of here. <name>!<page><box>
195:$576D	story_and_event_dialogue	Rookie Guard: Don't ever try to escape again!<page><box>
195:$5794	story_and_event_dialogue	???: So, they escaped...<page><box>???: I had hoped to make use of that skilled man...<page><box><delay:1E>???: No matter.<page><br>There is another.<page><box>???: I'll try my luck with that man...<page>
195:$57F2	story_and_event_dialogue	<box>
195:$57F4	story_and_event_dialogue	Koppa: Huh?<page><br>Is that a town up ahead?<page><box>
195:$5814	story_and_event_dialogue	Koppa: If we reach it, we might be able to get away.<page><br>Let's go, <name>.<page><box>
195:$5848	story_and_event_dialogue	Rai: The Lord seems like a different man lately...<page><box>
195:$5877	story_and_event_dialogue	Mekerere: He used to be a good man...<page><box>
195:$5893	story_and_event_dialogue	Wanda: It was after the Lord changed.<page><box>Wanda: That's when monsters began moving into the castle...<page><box><delay:3C>Rai: You don't think the Lord is behind the monsters...?<page><box>
195:$58E9	story_and_event_dialogue	Mekerere: There's even a rumor that the Princess is summoning the monsters.<page><box>Mekerere: But can that really be true?<page>
195:$595C	story_and_event_dialogue	Pekeji: Bro?<page><box>
195:$5968	story_and_event_dialogue	Pekeji: Bro! It really is you! What are you doing here?!<page><box>
195:$5988	story_and_event_dialogue	Pekeji: Let's not stand around talking. Come grab a bite with me.<page><box>
195:$59B2	story_and_event_dialogue	???: Here you go. Five more servings.<page><box>???: You sure can eat, same as ever.<page><box>Pekeji: Heh heh... I need to build up my strength, or I'll never get any work done.<page><box>???: Work...?<page><br>All you ever do is hang around this restaurant.<page><box>Pekeji: I'm about to start!<page><box>
195:$5A52	story_and_event_dialogue	Pekeji: Oh, Bro. Let me introduce you.<page><br>This is Sachi.<page><box>
195:$5A7A	story_and_event_dialogue	Pekeji: She's the<hspace:04>restaurant's star waitress. Heh heh... Cute, huh?<page><box>
195:$5A9F	story_and_event_dialogue	Pekeji: This is my bro.<page><box>
195:$5AB1	story_and_event_dialogue	Pekeji: And this skunk is Koppa.<page><box>
195:$5ACA	story_and_event_dialogue	Koppa: I'm not a skunk! I'm a weasel!<page><box>
195:$5AE7	story_and_event_dialogue	Sachi: Aww, you're cute.<page><box>
195:$5AF9	story_and_event_dialogue	Sachi: I'm Sachi.<page><br>I help my mom here.<page><br>Nice to meet you.<page><box>
195:$5B2F	story_and_event_dialogue	Sachi: Well, I should get back to work.<page><box>
195:$5B4A	story_and_event_dialogue	Sachi: You two take your time.<page><box>
195:$5B63	story_and_event_dialogue	Pekeji: Still, I never expected to find you in this town, Bro...<page><box>
195:$5B85	story_and_event_dialogue	Pekeji: But man, Bro... You always treat me like dirt!<page><box>
195:$5BA8	story_and_event_dialogue	Pekeji: You always leave me behind and run off somewhere!<page><box><delay:1E>Koppa: Tch. You're the one who can't keep up!<page><box>Koppa: 'Bro! I'm hungry!' That's all you ever say.<page><box>Koppa: So what brought you here, Pekeji?<page><box>
195:$5C2B	story_and_event_dialogue	Pekeji: Heh heh... The truth is...<page><box>Pekeji: There's a rumor about some treasure in this town.<page><box><delay:1E>Koppa: Treasure?<page><box><delay:1E>Pekeji: Yeah.<page><br>You saw the Magic Castle on your way here, right, Bro?<page><box>
195:$5CA0	story_and_event_dialogue	Pekeji: There are some ruins beneath that Magic Castle.<page><box>
195:$5CC0	story_and_event_dialogue	Pekeji: They say an incredible treasure lies buried deep underground.<page><box>
195:$5CF0	story_and_event_dialogue	Pekeji: Everyone's too scared to go near the place now.<page><box>Pekeji: But you and me, Bro? We could waltz in and swipe that treasure!<page><box>
195:$5D43	story_and_event_dialogue	Pekeji: Well?<page> Tempting, right?<page><box>
195:$5D58	story_and_event_dialogue	Pekeji: Don't look at me like that... Come on, Bro. Please?<page><box>
195:$5D7B	story_and_event_dialogue	Koppa: Sounds fishy.<page><br>How do we even get in?<page><box><delay:1E>Pekeji: Through the Magic Castle.<page><box><delay:1E>Koppa: Huh?<page> Back in there?!<page><br>You've gotta be kidding!<page><box><delay:1E>Koppa: We were lucky someone helped us escape...<page><box>
195:$5DFE	story_and_event_dialogue	???: Hurry... Run...<page><box>
195:$5E0E	story_and_event_dialogue	Koppa: We just escaped from that place!<page><box>
195:$5E2D	story_and_event_dialogue	Koppa: Who'd go back there on purpose? Right, <name>...?
195:$5E49	story_and_event_dialogue	Koppa: Huh?<page><box><delay:1E>Pekeji: Bro?!<page><br>You're not actually...?<page><box><delay:1E>Koppa: You're serious?!<page><box>
195:$5E7C	story_and_event_dialogue	Pekeji: You're up for it, Bro!<page><br>I knew it! That's my bro!<page><box>
195:$5EA4	story_and_event_dialogue	Koppa: Tch...<page><br>Pekeji, you did some scouting, right?<page><box>
195:$5ECC	story_and_event_dialogue	Pekeji: There's a passage behind the Magic Castle.<page><br>It leads to the treasure.<page><box>Koppa: What's the holdup?<page><box>Pekeji: The padlock on the gate.<page><box>Pekeji: I haven't been able to get it off.<page><box>Koppa: When do we go?<page><box>Pekeji: Tonight, at the Hour of Bufu.<page><box><delay:3C>Koppa: Fine. Let's do this!<page><box>
195:$5F91	story_and_event_dialogue	Pekeji: Huh?<page><box>
195:$5F9C	story_and_event_dialogue	Koppa: What's wrong?<page><box>
195:$5FA9	story_and_event_dialogue	Pekeji: The padlock's broken!<page><br>But it was so sturdy...<page><br>Who could have done this?<page><box>Koppa: Maybe it was old and broke on its own.<page><box>Koppa: Either way, we got lucky. Let's get inside.<page><box>
195:$6028	story_and_event_dialogue	???: <name>?!...<page><box>
195:$6035	story_and_event_dialogue	Pekeji: ...Just as I thought.<page><box>
195:$6044	story_and_event_dialogue	Koppa: What's wrong, Pekeji?<page><box>
195:$6059	story_and_event_dialogue	Pekeji: Just as I thought. This is a Mystery Dungeon.<page><box>Pekeji: This place is crawling with monsters.<page><box>Pekeji: If you collapse, they'll take everything you've got and throw you out...<page><box>Pekeji: Let's be careful, Bro!<page><box>
