scene_order	scene_id	phase	scene_title	record_order	id	english
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	1	205:$6905	Got <number:19:C5>.<page><br>Carved from solid wood and shaped for an easy grip.<page><box>Press B to open the menu, then choose Items and equip it.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	2	205:$694D	Got <number:19:C5>.<page><br>A sword forged from bronze.<page><box>Press B to open the menu, then choose Items and equip it.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	3	205:$698A	Got <number:19:C5>.<page><box>Legend says it can defeat one hundred demons. Its attack power is exceptionally high.<page><box>Press B to open the menu, then choose Items and equip it.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	4	205:$69DE	Got <number:19:C5>.<page><br>A wooden shield that never rusts.<page><box>Press B to open the menu, then choose Items and equip it.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	5	205:$6A1F	Got <number:19:C5>.<page><br>A sturdy shield forged from iron.<page><box>Press B to open the menu, then choose Items and equip it.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	6	205:$6A61	Got <number:19:C5>.<page><br>Raises Strength while equipped.<page><box>Press B to open the menu, then choose Items and equip it.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	7	205:$6A9E	Got <number:19:C5>.<page><br>Eat it to restore a little Fullness.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	8	205:$6AEF	Got <number:19:C5>.<page><br>Eat it to restore Fullness.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	9	205:$6B40	Got <number:19:C5>.<page><br>Drink it to restore a little HP.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	10	205:$6B92	Got <number:19:C5>.<page><br>Drink it to restore lots of HP.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	11	205:$6BE4	Got <number:19:C5>.<page><br>Drink it to reveal invisible creatures and traps.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	12	205:$6C40	Got <number:19:C5>.<page><br>Drink it to breathe fire and attack monsters.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	13	205:$6CA0	Got <number:19:C5>.<page><br>Carry it to revive once when you collapse.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	14	205:$6D02	Got <number:19:C5>.<page><br>Drink it to raise Max HP.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	15	205:$6D54	Got <number:19:C5>.<page><br>Drink it to fully restore Strength.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	16	205:$6DAD	Got <number:19:C5>.<page><box>Drink it to lower HP and Strength and slow your movement.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	17	205:$6E10	Got <number:19:C5>.<page><br>Drink it to become confused.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	18	205:$6E60	Got <number:19:C5>.<page><br>It restores a little<br>Fullness.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	19	205:$6EB4	Got <number:19:C5>.<page><br>Drink it to warp somewhere else on the floor.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	20	205:$6F04	Got <number:19:C5>.<page><br>Drink it to move faster for a short while.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	21	205:$6F62	Got <number:19:C5>.<page><br>Damages every monster in the room.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	22	205:$6FC3	Got <number:19:C5>.<page><br>Puts every monster in the room to sleep.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	23	205:$7021	Got <number:19:C5>.<page><br>Removes curses from carried items.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	24	205:$707C	Got <number:19:C5>.<page><br>Returns you to town with all carried items.<page><box>Press B to open the menu, then choose Items to view descriptions.
1	first_discovery_tutorials	gameplay_support	First-discovery item tutorials	25	205:$70D1	Got <number:19:C5>.<page><br>Items can be freely inserted and removed.<page><box>Press B to open the menu, then choose Items to view descriptions.
2	opening_sandstorm	main_story	Opening desert sandstorm	1	195:$5593	Koppa: Ugh... Maybe we should've taken the long way around after all...<delay:60><box>Koppa: We need to get through here, fast...
2	opening_sandstorm	main_story	Opening desert sandstorm	2	195:$55CF	Koppa: Whoa!
2	opening_sandstorm	main_story	Opening desert sandstorm	3	195:$55D8	Koppa: Cough! Ptooey! What a nasty sandstorm...
2	opening_sandstorm	main_story	Opening desert sandstorm	4	195:$55F2	<box>
2	opening_sandstorm	main_story	Opening desert sandstorm	5	195:$55F4	Koppa: Hey!<delay:1E><br><name>!<delay:1E> Stay with me!<delay:3C>
2	opening_sandstorm	main_story	Opening desert sandstorm	6	195:$560F	Koppa: Hey... Hang...<delay:1E> in there...
3	magic_castle_capture	main_story	Capture and escape from the Magic Castle	1	195:$562F	Dragon Guard: I heard you captured someone who collapsed in the desert.<page><box>Dragon Guard: How are they doing?<page><box><delay:1E>Rookie Guard: No change.<page><box><delay:1E>Dragon Guard: I doubt they're much of a threat, but let's be safe.<page><box>Dragon Guard: Keep a close eye on them.<page><box><delay:1E>Rookie Guard: Sir!<page><box>
3	magic_castle_capture	main_story	Capture and escape from the Magic Castle	2	195:$56DA	Koppa: They put these things on us...<page><box>Who the heck are those guys? Damn it!<page><box>
3	magic_castle_capture	main_story	Capture and escape from the Magic Castle	3	195:$5705	Koppa: No good. They won't come off.<page><box>
3	magic_castle_capture	main_story	Capture and escape from the Magic Castle	4	195:$5718	???: Hurry... Run...<page><box>
3	magic_castle_capture	main_story	Capture and escape from the Magic Castle	5	195:$5728	Koppa: Who was that girl...?<page><box>
3	magic_castle_capture	main_story	Capture and escape from the Magic Castle	6	195:$573F	Koppa: ...Anyway, we'd better get out of here. <name>!<page><box>
4	escape_failure	main_story	Failed prison escape	1	195:$576D	Rookie Guard: Don't ever try to escape again!<page><box>
5	ilpa_sighting	main_story	Escape aftermath and first sight of Ilpa	1	195:$5794	???: So, they escaped...<page><box>???: I had hoped to make use of that skilled man...<page><box><delay:1E>???: No matter.<page><br>There is another.<page><box>???: I'll try my luck with that man...<page>
5	ilpa_sighting	main_story	Escape aftermath and first sight of Ilpa	2	195:$57F2	<box>
5	ilpa_sighting	main_story	Escape aftermath and first sight of Ilpa	3	195:$57F4	Koppa: Huh?<page><br>Is that a town up ahead?<page><box>
5	ilpa_sighting	main_story	Escape aftermath and first sight of Ilpa	4	195:$5814	Koppa: If we reach it, we might be able to get away.<page><br>Let's go, <name>.<page><box>
6	early_ilpa_rumors	main_story	Early Ilpa rumors	1	195:$5848	Rai: The Lord seems like a different man lately...<page><box>
