id	sections	english
192:$4BD0	actor_names_tier_1	Invisible Thing
192:$4BD7	actor_names_tier_1	Mamel
192:$4BDB	actor_names_tier_1	Bow Boy
192:$4BE0	actor_names_tier_1	Taur
192:$4BE5	actor_names_tier_1	Healer Rabbit
192:$4BEC	actor_names_tier_1	Demon Warrior
192:$4BF3	actor_names_tier_1	Ghost Warrior
192:$4BFB	actor_names_tier_1	Scurry Egg
192:$4C00	actor_names_tier_1	Schubell
192:$4C06	actor_names_tier_1	Floor Dragon
192:$4C0E	actor_names_tier_1	Pumphantasm
192:$4C15	actor_names_tier_1	Pop Tank
192:$4C1D	actor_names_tier_1	Nigiri Morph
192:$4C24	actor_names_tier_1	Curse Girl
192:$4C2A	actor_names_tier_1	Gazer
192:$4C2E	actor_names_tier_1	Impact Boar
192:$4C37	actor_names_tier_1	Boy Tank
192:$4C3F	actor_names_tier_1	Slime
192:$4C43	actor_names_tier_1	Porky
192:$4C48	actor_names_tier_1	Dragon
192:$4C4D	actor_names_tier_1	Cell Armor
192:$4C54	actor_names_tier_1	Death Reaper
192:$4C5A	actor_names_tier_1	Bad Froggo
192:$4C60	actor_names_tier_1	Mutaikon
192:$4C68	actor_names_tier_1	Gawkulus
192:$4C6D	actor_names_tier_1	Doze Mage
192:$4C75	actor_names_tier_1	Bad Zalokleft
192:$4C7B	actor_names_tier_1	Sip Leech
192:$4C81	actor_names_tier_1	Wily Tanuki
192:$4C87	actor_names_tier_1	Ether Devil
192:$4C8F	actor_names_tier_1	Soldier Ant
192:$4C96	actor_names_tier_1	Skull Mage
192:$4C9E	actor_names_tier_1	Rock Head
192:$4CA5	actor_names_tier_1	Lamp Puffer
192:$4CAD	actor_names_tier_1	Explochin
192:$4CB4	actor_names_tier_1	Crow Tengu
192:$4CBB	actor_names_tier_1	Wolf Droid
192:$4CC1	actor_names_tier_1	Ironhead
192:$4CC9	actor_names_tier_1	Bat Kangaroo
192:$4CD2	actor_names_tier_1	Mini Mixer
192:$4CD9	actor_names_tier_1	Snacky
192:$4CE0	actor_names_tier_1	Trap Genin
192:$4CE5	actor_names_tier_1	Bored Kappa
192:$4CEB	actor_names_tier_1	Sheep Priest
192:$4CF3	actor_names_tier_1	Punter Scarab
192:$4CFB	actor_names_tier_1	Gyadon
192:$4D00	actor_names_tier_1	Samuraidon
192:$4D07	actor_names_tier_1	Squid King
192:$4D0D	actor_names_tier_1	Baby Mage
192:$4D15	actor_names_tier_1	Pitcher Plant
192:$4D1C	actor_names_tier_1	Alert Fly
192:$4D23	actor_names_tier_1	Lobber Beetle
192:$4D2A	actor_names_tier_1	Goggler
192:$4D30	actor_names_tier_1	Dark Slasher
192:$4D36	actor_names_tier_1	Daze Hermit
192:$4D3F	actor_names_tier_1	Dozy Genie
192:$4D48	actor_names_tier_1	Pot Fisher
192:$4D50	actor_names_tier_1	Jungarian
192:$4D58	actor_names_tier_1	Gyaza
192:$4D5D	actor_names_tier_1	Dark Vassal
192:$4D64	actor_names_tier_1	Morabi
192:$4D69	actor_names_tier_1	Glare Snake
192:$4D6F	actor_names_tier_1	Minion Mouse
192:$4D76	actor_names_tier_1	Teaser Monkey
192:$4D7E	actor_names_tier_1	Chintala
192:$4D83	actor_names_tier_1	King Tusker
192:$4D87	actor_names_tier_1	Twisty Hani
192:$4D8F	actor_names_tier_1	Master Chicken
192:$4D97	actor_names_tier_1	Chicken
192:$4D9B	actor_names_tier_1	Vampire Baron
192:$4DA4	actor_names_tier_1	Dagyan
192:$4DA9	actor_names_tier_1	Zen Guru
192:$4DB0	actor_names_tier_1	Shady Wisp
192:$4DB9	actor_names_tier_1	Fog Hermit
192:$4DC0	actor_names_tier_1	Zagan
192:$4DC4	actor_names_tier_1	Zagan (Dummy)
192:$4DCF	actor_names_tier_1	Lord
192:$4DD4	actor_names_tier_1	Lord (Dummy)
192:$4DE1	actor_names_tier_1	Curas
192:$4DE6	actor_names_tier_1	Curas
192:$4DEB	actor_names_tier_1	Evil God
192:$4DF0	actor_names_tier_1	Zenmaiger
192:$4DF7	actor_names_tier_1	Mamo
192:$4DFB	actor_names_tier_1	Nfuu
192:$4DFF	actor_names_tier_1	Nfuu (Dummy)
192:$4E0A	actor_names_tier_1	Impostor
192:$4E0F	actor_names_tier_1	Onigiri
192:$4E14	actor_names_tier_1	Imprison Pot
192:$4E1C	actor_names_tier_1	Sheriff
192:$4E23	actor_names_tier_1	Guard Dog
192:$4E28	actor_names_tier_1	Shopkeeper
192:$4E2D	actor_names_tier_1	Koppa
192:$4E31	actor_names_tier_1	Koppa (Dummy)
192:$4E3C	actor_names_tier_1	Pekeji
