id	sections	english
193:$54FF	control_help	1. Moving Diagonally
193:$550D	control_help	2. Viewing the Map
193:$551A	control_help	3. Sorting Items
193:$552B	control_help	4. Shooting Arrows
193:$5536	control_help	5. Turning in Place
193:$5546	control_help	6. Recovering HP
193:$5556	control_help	7. Dashing
193:$5562	control_help	8. Dungeon Shops
193:$5574	control_help	9. Using a Monster's Ability
193:$5584	control_help	<br> Hold START while moving<br> to walk diagonally.<br><br>Release START to move up,<br>down, left, or right.<br>Use this whenever you need<br>precise diagonal movement.
193:$55EC	control_help	<br> Tap SELECT briefly.<br><br>This opens the dungeon map.<br>Every path you have explored<br>will be shown, so you should<br>never get lost again.
193:$5655	control_help	<br> 1<27>Open the Items menu.<br> 2<27>Press START.<br><br>One button press sorts your<br>items into a tidy list!
193:$5698	control_help	<br> 1<27>Equip some arrows.<br> 2<27>Hold SELECT and press A.<br><br>This lets you easily attack<br>monsters from a distance!
193:$56EA	control_help	<br> 1<27>Tap START.<br> 2<27>Choose a direction.<br><br>This turns you without moving.<br>If a monster is beside you,<br>you will automatically face it.
193:$5760	control_help	<br> Hold B and press A.<br><br>Walking also restores HP, but<br>this restores it much faster.<br>Monsters move just as fast,<br>so stay alert!
193:$57D8	control_help	<br> Hold B while moving.<br><br>This makes you dash, but<br>monsters move just as quickly.<br>Be careful!
193:$582E	control_help	<br> 1<27>Stand on the item you want.<br> 2<27>Use At Feet to pick it up.<br> 3<27>Talk to the shopkeeper.<br><br>Dungeon shops work<br>differently from town shops.<br>Remember these steps!
193:$58B3	control_help	<br> 1<27>Eat Meat to transform.<br> 2<27>Hold SELECT and press A.<br><br>You can use the transformed<br>monster's Ability this way.<br>Choosing Abilities from the<br>menu does the same thing.
193:$5936	control_help	<br> Tap SELECT to enter<br> diagonal-lock mode.<br><br>Now you can only move<br>diagonally. Tap SELECT again<br>to move normally. A quick tap<br>is the key!
193:$59BF	control_help	<br> Press B to open the menu.<br><br>Choose Map to see where<br>you are in the dungeon.<br>Every path you have explored<br>is shown, so you should never<br>get lost again.
193:$5A34	control_help	<br> 1<27>Open the Items menu.<br> 2<27>Press START.<br><br>One button press sorts your<br>items into a tidy list!
193:$5A77	control_help	<br> 1<27>Equip some arrows.<br> 2<27>Hold SELECT and press A.<br><br>This lets you easily attack<br>monsters from a distance!
193:$5AC9	control_help	<br> 1<27>Tap START.<br> 2<27>Choose a direction.<br><br>This turns you without moving.<br>If a monster is beside you,<br>you will automatically face it.
193:$5B3F	control_help	<br> Hold B and press A.<br><br>Walking also restores HP, but<br>this restores it much faster.<br>Monsters move just as fast,<br>so stay alert!
193:$5BB7	control_help	<br> Hold B while moving.<br><br>This makes you dash, but<br>monsters move just as quickly.<br>Be careful!
193:$5C0D	control_help	<br> 1<27>Stand on the item you want.<br> 2<27>Use At Feet to pick it up.<br> 3<27>Talk to the shopkeeper.<br><br>Dungeon shops work<br>differently from town shops.<br>Remember these steps!
193:$5C92	control_help	<br> 1<27>Eat Meat to transform.<br> 2<27>Hold SELECT and press A.<br><br>You can use the transformed<br>monster's Ability this way.<br>Choosing Abilities from the<br>menu does the same thing.
193:$5D58	technique_help	Take Turns
193:$5D67	technique_help	Escaping Monsters
193:$5D77	technique_help	Throwing Herbs and Staves
193:$5D88	technique_help	Care for Bracelets
193:$5D9B	technique_help	Dungeon Winds
193:$5DA8	technique_help	Using Traps
193:$5DB7	technique_help	Blessings <ED> and Curses <EB>
193:$5DC9	technique_help	Pots Carry More
193:$5DD9	technique_help	Sleeping Monsters
193:$5DE7	technique_help	Diagonal Movement
193:$5DF8	technique_help	Stronger Gear Is Better
193:$5E09	technique_help	Pot and Staff Limits
193:$5E1B	technique_help	Gear Combinations
193:$5E2C	technique_help	Identifying Items
193:$5E3B	technique_help	Naming Unknown Items
193:$5E4C	technique_help	Wanderer Grade
193:$5E5C	technique_help	 You move, monsters move.<br> You stop, they stop too.<br><br>Everyone takes turns in a<br>Mystery Dungeon. Monsters act<br>only when you do, so there is<br>no need to rush. Stop and plan<br>your next move!
193:$5EED	technique_help	 You can heal without an Herb!<br> Walking restores HP!<br><br>Fighting is not your only<br>option.<br>Flee monsters when needed.<br>Walk until HP is restored,<br>then strike back!
193:$5F86	technique_help	 Throw Herbs and staves!<br> Even spent staves work!<br><br>Some Herbs and staves affect<br>monsters when thrown at them.<br>A staff with 0 charges still<br>works when it is thrown.<br>What a useful trick!
193:$6005	technique_help	 Equip Bracelets right away!<br> Repair cracks quickly too!<br><br>A Bracelet works only while<br>equipped. Traps or blows may<br>crack it. If that happens, ask<br>a blacksmith to repair it as<br>soon as you can!
193:$6083	technique_help	 Do not search forever!<br> The wind can end your trip!<br><br>Stay on one floor too long.<br>A strong wind may send you<br>back to town. Know your goal,<br>and use your time wisely!
193:$6101	technique_help	 Items reveal hidden traps!<br> Swinging a weapon can too!<br><br>Certain items reveal traps.<br>Without one, swing a weapon<br>to check the space ahead.<br>To trigger a trap yourself,<br>bounce an item off a wall and<br>have it land on the trap!
193:$61A6	technique_help	 Blessings power items up!<br> Curses power items down!<br><br>A blessing draws out an item's<br>power, strengthening gear or<br>improving its effect. A curse<br>does the opposite: equipment<br>may become stuck, and some<br>items cannot be used!
193:$624D	technique_help	 Pots carry extra items!<br><br>You can store items in a Pot,<br>but usually must break it to<br>retrieve them. A Preservation<br>Pot is different: you may move<br>items in and out without ever<br>breaking it!
