id	sections	english
202:$41B0	item_descriptions	This item is unidentified.<br>Its effect is unknown.
202:$41C5	item_descriptions	<26>Cudgel<26><br>Atk <27><br>Slots <hspace:02><27><br>Carved from solid wood and<br>shaped for an easy grip.
202:$4207	item_descriptions	<26>Bronze Sword<26><br>Atk <27><br>Slots <hspace:02><27><br>A sword forged from bronze.
202:$423F	item_descriptions	<26>Katana<26><br>Atk <27><br>Slots <hspace:02><27><br>A reliable sword favored by<br>Wanderers everywhere.
202:$427D	item_descriptions	<26>Doutanuki<26><br>Atk <27><br>Slots <hspace:02><27><br>A world-famous blade forged<br>by Genma Doutanuki.
202:$42BC	item_descriptions	<26>Dragonkiller<26><br>Atk <27><br>Slots <hspace:02><27><br>Deals heavy damage to Dragon<br>monsters.
202:$4303	item_descriptions	<26>Manji Kabura<26><br>Atk <27><br>Slots <hspace:02><27><br>A masterpiece forged by the<br>genius swordsmith Kabura.
202:$4357	item_descriptions	<26>Sickle of Salvation<26><br>Atk <27><br>Slots <hspace:02><27><br>Deals heavy damage to Ghost<br>monsters.
202:$439F	item_descriptions	<26>Pickaxe<26><br>Atk <27><br>Slots <hspace:02><27><br>Use it to dig through walls.<br>It may break after repeated<br>use.
202:$43EF	item_descriptions	<26>Adamant Pickaxe<26><br>Atk <27><br>Slots <hspace:02><27><br>This remarkable pickaxe never<br>breaks and can still dig<br>through walls.
202:$443C	item_descriptions	<26>Accurate Sword<26><br>Atk <27><br>Slots <hspace:02><27><br>Normal attacks never miss.
202:$447D	item_descriptions	<26>Axe of the Minotaur<26><br>Atk <27><br>Slots <hspace:02><27><br>Often lands critical hits.
202:$44BD	item_descriptions	<26>Kama Itachi<26><br>Atk <27><br>Slots <hspace:02><27><br>Attacks all three spaces in<br>front of you at once.
202:$4504	item_descriptions	<26>Cyclops Bane<26><br>Atk <27><br>Slots <hspace:02><27><br>Deals heavy damage to<br>one-eyed monsters.
202:$454B	item_descriptions	<26>Drain Slayer<26><br>Atk <27><br>Slots <hspace:02><27><br>Deals heavy damage to<br>monsters that drain stats.
202:$4597	item_descriptions	<26>Kajin Fuuma<26><br>Atk <27><br>Slots <hspace:02><27><br>A legendary katana coveted by<br>Wanderers everywhere.
202:$45E1	item_descriptions	<26>Kabura Sutegi<26><br>Atk <27><br>Slots <hspace:02><27><br>A mythical sword so rare that<br>even the ancient smith Kabura<br>could seldom forge it. Few<br>Wanderers know it exists.
202:$4661	item_descriptions	<26>Mamel Sword<26><br>Atk <27><br>Slots <hspace:02><27><br>Mamel ancestors forged this<br>legendary sword in hopes of<br>becoming stronger. No Mamel<br>could equip it, so they gave<br>up.
202:$46DB	item_descriptions	<26>Power Pole<26><br>Atk <27><br>Slots <hspace:02><27><br>Hitting a monster or wall<br>knocks you back one space.
202:$4721	item_descriptions	<26>Cell Armor Sword<26><br>Atk <27><br>Slots <hspace:02><27><br>An attack may knock away an<br>item carried by the target.
202:$4772	item_descriptions	<26>Break-Off Blade<26><br>Atk <27><br>Slots <hspace:02><27><br>It begins with high attack,<br>but its Upgrade Value drops<br>every time you attack.
202:$47C5	item_descriptions	<26>Wooden Mallet<26><br>Atk <27><br>Slots <hspace:02><27><br>Use it to destroy traps. Be<br>careful, since the mallet may<br>break before the trap does.
202:$4829	item_descriptions	<26>Jagged Sword<26><br>Atk <27><br>Slots <hspace:02><27><br>After enough missed attacks,<br>your next attack is<br>guaranteed to land a critical<br>hit.
202:$488A	item_descriptions	<26>Healing Sword<26><br>Atk <27><br>Slots <hspace:02><27><br>Dealing damage with an attack<br>restores a little HP.
202:$48D6	item_descriptions	<26>Ookabuto Axe<26><br>Atk <27><br>Slots <hspace:02><27><br>A sturdy axe made from an<br>Ookabuto shell.
202:$4919	item_descriptions	<26>Demon Slayer<26><br>Atk <27><br>Slots <hspace:02><27><br>Legend says it can defeat one<br>hundred demons. Its attack<br>power is exceptionally high.
