id	sections	english
200:$4F9C	monster_notebook_descriptions	The most popular monster.<br>Its tail is said to be tasty.
200:$4FC0	monster_notebook_descriptions	A kid shooting Wooden Arrows.<br>It is still only a kid.
200:$4FE1	monster_notebook_descriptions	A vicious bull wielding<br>a massive axe.
200:$5002	monster_notebook_descriptions	A rabbit who warps over<br>to heal wounded monsters.
200:$5023	monster_notebook_descriptions	A warrior who died here.<br>It still looks intimidating.
200:$5047	monster_notebook_descriptions	Possesses monsters to raise<br>their level. Full of grudges.
200:$5069	monster_notebook_descriptions	Flees when you draw near.<br>Defeat it to get an Onigiri.
200:$5087	monster_notebook_descriptions	Rings to summon its allies.<br>It styles its hair every day.
200:$50AA	monster_notebook_descriptions	Circles around to flank you.<br>A surprisingly tough foe.
200:$50CD	monster_notebook_descriptions	Delicious after you defeat it.<br>Boiled or steamed, still tasty.
200:$50EF	monster_notebook_descriptions	Attacks with a huge cannon.<br>A fine old man, inside and out.
200:$5111	monster_notebook_descriptions	Turns any item into Onigiri.<br>It is an Onigiri festival!
200:$5134	monster_notebook_descriptions	Curses one of your items.<br>Annoyance level: 80 out of 80.
200:$5155	monster_notebook_descriptions	Hypnotizes you into using<br>an item. Just this once...
200:$5179	monster_notebook_descriptions	A lonely gang leader.<br>The dungeon's resident brat.
200:$5199	monster_notebook_descriptions	A kid who shoots Iron Arrows.<br>Stronger, but still only a kid.
200:$51B8	monster_notebook_descriptions	Its stench blurs your sight!<br>It rusts swords and shields.
200:$51D7	monster_notebook_descriptions	Throws stones from afar.<br>A proud pig that cannot fly.
200:$51FA	monster_notebook_descriptions	Breathes scorching flames.<br>One hit cooks you medium rare.
200:$521C	monster_notebook_descriptions	May blow away your items.<br>Lucky if they were cursed!
200:$5240	monster_notebook_descriptions	Attacks without expression.<br>Its scythe is a hand-me-down.
200:$5266	monster_notebook_descriptions	A thief through and through.<br>Steals and hides your Gitan.
200:$528A	monster_notebook_descriptions	Throws Poison Grass at you.<br>Its hair is wildly overgrown.
200:$52AC	monster_notebook_descriptions	Sometimes confuses you.<br>Its cute eyes will charm you.
200:$52CD	monster_notebook_descriptions	May lull you to sleep.<br>Its sweet voice charms all.
200:$52F0	monster_notebook_descriptions	Steals an item, then warps.<br>Throws a fit if it fails.
200:$5312	monster_notebook_descriptions	Sip Leech drains Strength.<br>A true, blue slurping bug.
200:$5333	monster_notebook_descriptions	May be disguised as an item.<br>Do not let your guard down.
200:$5352	monster_notebook_descriptions	Absorbs the effect of staves.<br>Strangely, its Meat is edible.
200:$5378	monster_notebook_descriptions	Left alone, it keeps digging<br>as long as walls remain...
200:$539B	monster_notebook_descriptions	All bones, yet it makes Meat.<br>Fight without holding back!
200:$53BD	monster_notebook_descriptions	Waits still until you approach.<br>It lives to startle wanderers.
200:$53DE	monster_notebook_descriptions	Lowers your Fullness a little.<br>It dreams of fugu and sake...
200:$5401	monster_notebook_descriptions	Looks like food, but is a bomb.<br>It soon explodes.
200:$5423	monster_notebook_descriptions	Copies a monster on its floor.<br>It idolizes Falcon Tengu.
200:$5447	monster_notebook_descriptions	Throws bombs everywhere.<br>It always seems angry.
200:$546C	monster_notebook_descriptions	Attacks by launching its face.<br>It takes pride in that face.
200:$5491	monster_notebook_descriptions	Skilled at enraging monsters.<br>A mean-spirited kangaroo.
200:$54B5	monster_notebook_descriptions	Combines two items in its gut.<br>They emerge smelling strange.
200:$54DB	monster_notebook_descriptions	A favorite food of monsters.<br>Tastes like a candy apple.
200:$54FE	monster_notebook_descriptions	Leaves a Trap as it dies.<br>A sneaky, mysterious ninja.
200:$551F	monster_notebook_descriptions	Always bored. It even counts<br>stars all night long.
200:$5543	monster_notebook_descriptions	Halves your attack power.<br>Still misses its old love Mary.
200:$5569	monster_notebook_descriptions	A brute who grabs and throws.<br>It failed to grasp its dream.
200:$558F	monster_notebook_descriptions	Eats staves to drain uses.<br>It also smells. Just awful.
200:$55B4	monster_notebook_descriptions	Launches counterattacks.<br>A very competitive samurai.
200:$55D3	monster_notebook_descriptions	Excels at blinding attacks.<br>A dungeon squid, and delicious!
200:$55F4	monster_notebook_descriptions	Cute face: hoi, hoi, hoi!<br>Staff attack: ei, ei, ei!
200:$561A	monster_notebook_descriptions	A greedy plant that swallows<br>absolutely any item.
200:$563E	monster_notebook_descriptions	Sounds an alarm to its allies.<br>Still, it is only a fly.
200:$565E	monster_notebook_descriptions	Blows Stairs far away.<br>An eternal dribbler.
200:$567C	monster_notebook_descriptions	A monster with poor eyesight.<br>Its goggles barely help.
200:$56A0	monster_notebook_descriptions	Staves do not work on it.<br>Find another way to defeat it.
200:$56C3	monster_notebook_descriptions	Makes attacks miss often.<br>Its beard begs to be pulled.
200:$56E6	monster_notebook_descriptions	As its name says, it may nap.<br>You cannot help caring for it.
200:$570C	monster_notebook_descriptions	Steals a Pot and runs away.<br>Its speed will test patience.
200:$5730	monster_notebook_descriptions	Takes your item and throws it.<br>Even that cute face throws it.
200:$5754	monster_notebook_descriptions	Hard, mobile, and irritating.<br>Crab sticks, rice, and ramen.
200:$5777	monster_notebook_descriptions	Its name sounds rather evil.<br>But every dungeon is dark.
200:$579B	monster_notebook_descriptions	Its halfhearted kicks annoy<br>absolutely everyone around it.
200:$57BB	monster_notebook_descriptions	Consults Bored Kappa for fun.<br>Such a bored snake.
200:$57DB	monster_notebook_descriptions	Weak attack, weak defense.<br>It is a minion, after all.
200:$57FF	monster_notebook_descriptions	A monkey in looks and heart.<br>Do not let its teasing win.
200:$5825	monster_notebook_descriptions	Second in monster popularity.<br>It may be the tastiest of all.
200:$584A	monster_notebook_descriptions	Uses a Sealing Staff on you.<br>It envies Monarch Tusker.
200:$586A	monster_notebook_descriptions	Its dance lowers your level.<br>Copying it will not help.
200:$5890	monster_notebook_descriptions	Grew strong to avoid diners.<br>Now it is extremely spicy.
200:$58B3	monster_notebook_descriptions	Flees to avoid being eaten.<br>Now it is extremely healthy.
200:$58D7	monster_notebook_descriptions	Likes walks and imitation.<br>It likes the monster Bow Boy.
200:$58FA	monster_notebook_descriptions	Both of its tails can speak.<br>Both have foul mouths.
200:$591E	monster_notebook_descriptions	Approaches while meditating.<br>No, its legs are not numb.
200:$5943	monster_notebook_descriptions	Much about it is suspicious.<br>Does it even have ears?
200:$5962	monster_notebook_descriptions	What remains of a wanderer.<br>It forgot all of its past.
200:$5984	monster_notebook_descriptions	<empty>
200:$5985	monster_notebook_descriptions	<empty>
200:$5986	monster_notebook_descriptions	<empty>
200:$5987	monster_notebook_descriptions	<empty>
200:$5988	monster_notebook_descriptions	<empty>
200:$5989	monster_notebook_descriptions	<empty>
200:$5A28	monster_notebook_descriptions	A slightly stronger Mamel.<br>It smells faintly of menthol.
200:$5A4A	monster_notebook_descriptions	Shoots painful Iron Arrows.<br>Still just a mischievous kid.
200:$5A6D	monster_notebook_descriptions	More vicious than Tauros.<br>Beware its critical hits.
200:$5A92	monster_notebook_descriptions	Warps to wounded monsters<br>and heals them right away.
200:$5AB3	monster_notebook_descriptions	Driven by a powerful grudge.<br>Reflects direct attacks.
200:$5AD8	monster_notebook_descriptions	Full of pure resentment.<br>It holds a grudge against all.
200:$5AFE	monster_notebook_descriptions	Dashes away if you approach.<br>It drops a Large Onigiri.
200:$5B21	monster_notebook_descriptions	Rings its bell to call allies.<br>Dyes its hair every week.
200:$5B44	monster_notebook_descriptions	Do not dismiss it as a head.<br>It is still a tough foe.
200:$5B66	monster_notebook_descriptions	Delicious when defeated.<br>Rich in vitamins and carotene.
200:$5B89	monster_notebook_descriptions	An old man beyond stubborn.<br>His obstinacy is electrifying.
200:$5BAB	monster_notebook_descriptions	Turns you into an Onigiri.<br>It's an Onigiri carnival!
200:$5BCD	monster_notebook_descriptions	Curses two of your items.<br>Annoyance level: 90 out of 90.
200:$5BEF	monster_notebook_descriptions	Forces cursed gear onto you.<br>How could it do this...
200:$5C0F	monster_notebook_descriptions	An eternal duelist.<br>The dungeon's wildest bruiser.
200:$5C2D	monster_notebook_descriptions	Shoots Silver Arrows at you.<br>Stronger, yet still only a kid.
200:$5C54	monster_notebook_descriptions	Stinks beyond all belief.<br>It can erase happy memories.
200:$5C78	monster_notebook_descriptions	Throws even more stones.<br>It worships flightless pigs.
200:$5C9F	monster_notebook_descriptions	Attacks with powerful flames.<br>One hit cooks you well done.
200:$5CC1	monster_notebook_descriptions	May blow away your items.<br>Disaster may strike suddenly.
200:$5CE4	monster_notebook_descriptions	Rushes in to attack quickly.<br>Its scythe bears its name.
200:$5D0A	monster_notebook_descriptions	A serious thief, as expected.<br>Steals even more. Truly vile.
200:$5D2D	monster_notebook_descriptions	Uses Poison Grass.<br>Also uses Confusion Grass.
200:$5D54	monster_notebook_descriptions	May leave you confused.<br>Its cute head charms all.
200:$5D75	monster_notebook_descriptions	Sometimes lulls you to sleep.<br>Its sad voice charms youths.
200:$5D99	monster_notebook_descriptions	Steals an item, then warps.<br>May leave it beside a Trap.
200:$5DBC	monster_notebook_descriptions	Slurp Leech drains Strength.<br>Its drinking makes you gasp.
200:$5DE0	monster_notebook_descriptions	May be disguised as an item.<br>Nothing dangles underneath.
200:$5E01	monster_notebook_descriptions	Reflects staff effects.<br>It reflects only staves.
200:$5E24	monster_notebook_descriptions	Keeps digging intelligently<br>while there are still walls...
200:$5E47	monster_notebook_descriptions	All bones, yet it leaves Meat.<br>No bones about it: fight!
200:$5E6D	monster_notebook_descriptions	Waits still until you approach.<br>Sometimes it startles itself.
200:$5E92	monster_notebook_descriptions	Lowers Fullness significantly.<br>Fugu hot pot... Fried fugu...
200:$5EB6	monster_notebook_descriptions	Looks tasty, but is a bomb.<br>A huge explosion soon follows.
200:$5ED7	monster_notebook_descriptions	Copies monsters on its floor.<br>It idolizes Eagle Tengu.
200:$5EFB	monster_notebook_descriptions	Hurls bombs without mercy.<br>It always burns with rage.
200:$5F20	monster_notebook_descriptions	Attacks by launching its face.<br>It takes pride in that face.
200:$5F44	monster_notebook_descriptions	Skilled at provoking monsters.<br>An impatient kangaroo.
200:$5F63	monster_notebook_descriptions	Combines three items at once.<br>They emerge smelling of glue.
200:$5F8B	monster_notebook_descriptions	Undefined (Bug)
200:$5F96	monster_notebook_descriptions	Leaves a Trap when defeated.<br>A stylish, dishonorable ninja.
200:$5FB7	monster_notebook_descriptions	So bored, it even replies<br>to every piece of junk mail.
200:$5FD9	monster_notebook_descriptions	Halves your attack power.<br>It eats letters unread.
200:$5FFD	monster_notebook_descriptions	Grabs and throws with malice.<br>Bad dreams once haunted it.
200:$6021	monster_notebook_descriptions	Drains a Pot's remaining uses.<br>And leaves a horrible odor.
200:$6044	monster_notebook_descriptions	Reflects magical attacks.<br>A terribly timid general.
200:$6067	monster_notebook_descriptions	Excels at blinding attacks.<br>A soft, tasty walking squid!
200:$608A	monster_notebook_descriptions	Annoying face: buzz, buzz.<br>Tries all: bang, ba-bang!
200:$60AF	monster_notebook_descriptions	Identifies items it swallows.<br>A rather useful ability.
200:$60CB	monster_notebook_descriptions	Somehow leaves Meat behind.<br>Meat... but it is still a fly.
200:$60EA	monster_notebook_descriptions	Why does it blow Stairs away?<br>Even it does not know why.
200:$610D	monster_notebook_descriptions	A monster with poor eyesight.<br>It also has night blindness.
200:$6131	monster_notebook_descriptions	Scrolls have no effect on it.<br>Do not waste them against it.
200:$6157	monster_notebook_descriptions	Somehow it lectures you.<br>You may kneel down and listen.
200:$6178	monster_notebook_descriptions	As its name says, it may nap.<br>You may want to nap beside it.
200:$619B	monster_notebook_descriptions	Steals a Pot and runs away.<br>Its cunning erodes your trust.
200:$61BE	monster_notebook_descriptions	Takes and throws your item.<br>Even that tiny thing throws.
200:$61E2	monster_notebook_descriptions	Painful, scary, and ruinous.<br>Crab grill, hot pot, crab rice.
200:$6206	monster_notebook_descriptions	Cute name, wicked ambush.<br>It walks the wicked path.
200:$6226	monster_notebook_descriptions	Its stronger kick still works<br>to rub all the wrong way.
200:$6248	monster_notebook_descriptions	Clings to you beyond belief.<br>Its idle glare grows meaner.
200:$6269	monster_notebook_descriptions	Strong attack and defense.<br>Its minions are watching.
200:$628E	monster_notebook_descriptions	A monkey in heart and rear.<br>Do not fall for its teasing.
200:$62B4	monster_notebook_descriptions	Drifts along with no desire<br>to become most popular.
200:$62D7	monster_notebook_descriptions	Uses a Sluggish Staff on you.<br>It targets Emperor Tusker.
200:$62F8	monster_notebook_descriptions	Undefined (Bug)
200:$6303	monster_notebook_descriptions	Grew stronger to avoid diners.<br>Now it is remarkably juicy.
200:$6329	monster_notebook_descriptions	Undefined (Bug)
200:$6334	monster_notebook_descriptions	Reads books and copies others.<br>Its favorite is Healer Rabbit.
200:$635A	monster_notebook_descriptions	Its two tails work in harmony.<br>Right jokes, left retorts.
200:$637E	monster_notebook_descriptions	Floats while still meditating.<br>It is no ghost or illusion.
200:$63A1	monster_notebook_descriptions	Fears many things, but most<br>of all, its own face.
200:$63C2	monster_notebook_descriptions	A wanderer's lingering regrets<br>and obsessions given form.
200:$63E4	monster_notebook_descriptions	<empty>
200:$63E5	monster_notebook_descriptions	<empty>
200:$63E6	monster_notebook_descriptions	<empty>
200:$63E7	monster_notebook_descriptions	<empty>
200:$63E8	monster_notebook_descriptions	<empty>
200:$63E9	monster_notebook_descriptions	<empty>
200:$6488	monster_notebook_descriptions	A much stronger Mamel.<br>Its tail smells faintly sweet.
200:$64AA	monster_notebook_descriptions	Undefined (Bug)
200:$64B5	monster_notebook_descriptions	Beware its critical hits!<br>They hurt, and they burn.
200:$64D9	monster_notebook_descriptions	Undefined (Bug)
200:$64E4	monster_notebook_descriptions	Resents all of existence.<br>Even its fortune angers it.
