id	sections	english
194:$5037	ending_and_credits_text	None
194:$503A	ending_and_credits_text	Shiren
194:$5043	ending_and_credits_text	Magic Castle in the Desert
194:$504D	ending_and_credits_text	Full Moon
194:$5052	ending_and_credits_text	Princess Ateka
194:$5058	ending_and_credits_text	Preservation Pot
194:$505F	ending_and_credits_text	Pit Mamel
194:$5067	ending_and_credits_text	Wave
194:$506A	ending_and_credits_text	Throw
194:$506F	ending_and_credits_text	"Pekeji: But Bro's<br>always so mean to me.<page><box>Pekeji: He always<br>leaves me behind and<br>goes off somewhere.<box>Koppa: Tch. That's<br>because you can't keep up.<page><box>Koppa: You're always<br>saying, ""Bro, I'm hungry!""<page><box>Koppa: So why are<br>you here, Pekeji?"
194:$50FA	ending_and_credits_text	Sachi: Hmm. You're cute.<page><box>Sachi: I'm Sachi.<page><box>Sachi: I always help my<br>father at this restaurant.<page><box>Sachi: Nice to meet you.
194:$5137	ending_and_credits_text	Koppa: Huh?<page><box>Koppa: Back in there?<page><box>Koppa: No way!<page><box>Koppa: We only made it out<br>because someone rescued us...
194:$5170	ending_and_credits_text	Hanyanya!
194:$5176	ending_and_credits_text	Hurry! Run!
194:$5184	ending_and_credits_text	Obaba: So, who is the patient?
194:$51A0	ending_and_credits_text	Obaba: Then let us begin.<page><box>Obaba: O light of heaven<br>and earth, drive away<br>this evil darkness...
194:$51D4	ending_and_credits_text	Pekeji: No choice.<br>You two go on ahead.<page><box>Pekeji: I'll follow soon.
194:$520A	ending_and_credits_text	It was rough this time,<br>thanks to someone.
195:$5593	story_and_event_dialogue	Koppa: Ugh... Maybe we<br>should've taken the long<br>way around after all...<delay:60><box>Koppa: We need to get<br>through here, fast...
195:$55CF	story_and_event_dialogue	Koppa: Whoa!
195:$55D8	story_and_event_dialogue	Koppa: Cough! Ptooey!<br>What a nasty sandstorm...
195:$55F2	story_and_event_dialogue	<box>
195:$55F4	story_and_event_dialogue	Koppa: Hey!<delay:1E><br><name>!<delay:1E> Stay with me!<delay:3C>
195:$560F	story_and_event_dialogue	Koppa: Hey... Hang...<delay:1E> in there...
195:$562F	story_and_event_dialogue	Dragon Guard: I heard<br>you captured someone who<br>collapsed in the desert.<page><box>Dragon Guard: How<br>are they doing?<page><box><delay:1E>Rookie Guard: No change.<page><box><delay:1E>Dragon Guard: I doubt<br>they're much of a threat,<br>but let's be safe.<page><box>Dragon Guard: Keep<br>a close eye on them.<page><box><delay:1E>Rookie Guard: Sir!<page><box>
195:$56DA	story_and_event_dialogue	Koppa: They put<br>these things on us...<page><box>Who the heck are<br>those guys? Damn it!<page><box>
195:$5705	story_and_event_dialogue	Koppa: No good. They<br>won't come off.<page><box>
195:$5718	story_and_event_dialogue	???: Hurry... Run...<page><box>
195:$5728	story_and_event_dialogue	Koppa: Who was that girl...?<page><box>
195:$573F	story_and_event_dialogue	Koppa: ...Anyway, we'd better<br>get out of here. <name>!<page><box>
195:$576D	story_and_event_dialogue	Rookie Guard: Don't ever<br>try to escape again!<page><box>
195:$5794	story_and_event_dialogue	???: So, they escaped...<page><box>???: I had hoped to make<br>use of that skilled man...<page><box><delay:1E>???: No matter.<page><br>There is another.<page><box>???: I'll try my<br>luck with that man...<page>
195:$57F2	story_and_event_dialogue	<box>
195:$57F4	story_and_event_dialogue	Koppa: Huh?<page><br>Is that a town up ahead?<page><box>
195:$5814	story_and_event_dialogue	Koppa: If we reach it, we<br>might be able to get away.<page><br>Let's go, <name>.<page><box>
195:$5848	story_and_event_dialogue	Rai: The Lord seems like<br>a different man lately...<page><box>
195:$5877	story_and_event_dialogue	Mekerere: He used<br>to be a good man...<page><box>
195:$5893	story_and_event_dialogue	Wanda: It was after<br>the Lord changed.<page><box>Wanda: That's when monsters<br>began moving into the castle...<page><box><delay:3C>Rai: You don't think the Lord<br>is behind the monsters...?<page><box>
195:$58E9	story_and_event_dialogue	Mekerere: There's even a<br>rumor that the Princess<br>is summoning the monsters.<page><box>Mekerere: But can<br>that really be true?<page>
195:$595C	story_and_event_dialogue	Pekeji: Bro?<page><box>
195:$5968	story_and_event_dialogue	Pekeji: Bro! It really is you!<br>What are you doing here?!<page><box>
195:$5988	story_and_event_dialogue	Pekeji: Let's not stand<br>around talking. Come<br>grab a bite with me.<page><box>
195:$59B2	story_and_event_dialogue	???: Here you go.<br>Five more servings.<page><box>???: You sure can<br>eat, same as ever.<page><box>Pekeji: Heh heh... I need to<br>build up my strength, or I'll<br>never get any work done.<page><box>???: Work...?<page><br>All you ever do is hang<br>around this restaurant.<page><box>Pekeji: I'm about to start!<page><box>
195:$5A52	story_and_event_dialogue	Pekeji: Oh, Bro. Let<br>me introduce you.<page><br>This is Sachi.<page><box>
195:$5A7A	story_and_event_dialogue	Pekeji: She's the<hspace:04>restaurant's<br>star waitress. Heh<br>heh... Cute, huh?<page><box>
195:$5A9F	story_and_event_dialogue	Pekeji: This is my bro.<page><box>
195:$5AB1	story_and_event_dialogue	Pekeji: And this<br>skunk is Koppa.<page><box>
195:$5ACA	story_and_event_dialogue	Koppa: I'm not a<br>skunk! I'm a weasel!<page><box>
195:$5AE7	story_and_event_dialogue	Sachi: Aww, you're cute.<page><box>
195:$5AF9	story_and_event_dialogue	Sachi: I'm Sachi.<page><br>I help my mom here.<page><br>Nice to meet you.<page><box>
195:$5B2F	story_and_event_dialogue	Sachi: Well, I should<br>get back to work.<page><box>
195:$5B4A	story_and_event_dialogue	Sachi: You two take your time.<page><box>
195:$5B63	story_and_event_dialogue	Pekeji: Still, I never<br>expected to find you<br>in this town, Bro...<page><box>
195:$5B85	story_and_event_dialogue	Pekeji: But man, Bro... You<br>always treat me like dirt!<page><box>
195:$5BA8	story_and_event_dialogue	Pekeji: You always leave me<br>behind and run off somewhere!<page><box><delay:1E>Koppa: Tch. You're the<br>one who can't keep up!<page><box>Koppa: 'Bro! I'm hungry!'<br>That's all you ever say.<page><box>Koppa: So what brought<br>you here, Pekeji?<page><box>
195:$5C2B	story_and_event_dialogue	Pekeji: Heh heh...<br>The truth is...<page><box>Pekeji: There's a rumor about<br>some treasure in this town.<page><box><delay:1E>Koppa: Treasure?<page><box><delay:1E>Pekeji: Yeah.<page><br>You saw the Magic Castle on<br>your way here, right, Bro?<page><box>
195:$5CA0	story_and_event_dialogue	Pekeji: There are some ruins<br>beneath that Magic Castle.<page><box>
195:$5CC0	story_and_event_dialogue	Pekeji: They say an<br>incredible treasure lies<br>buried deep underground.<page><box>
195:$5CF0	story_and_event_dialogue	Pekeji: Everyone's too scared<br>to go near the place now.<page><box>Pekeji: But you and me,<br>Bro? We could waltz in<br>and swipe that treasure!<page><box>
195:$5D43	story_and_event_dialogue	Pekeji: Well?<page> Tempting, right?<page><box>
195:$5D58	story_and_event_dialogue	Pekeji: Don't look at me like<br>that... Come on, Bro. Please?<page><box>
