id	sections	english
192:$69F3	menus_and_system_labels	Items
192:$69F8	menus_and_system_labels	Equip
192:$69FC	menus_and_system_labels	Remove
192:$6A00	menus_and_system_labels	Wave
192:$6A03	menus_and_system_labels	Read
192:$6A06	menus_and_system_labels	Write
192:$6A09	menus_and_system_labels	Drink
192:$6A0C	menus_and_system_labels	Eat
192:$6A10	menus_and_system_labels	Look
192:$6A13	menus_and_system_labels	Put In
192:$6A17	menus_and_system_labels	Suck
192:$6A1A	menus_and_system_labels	Push
192:$6A1D	menus_and_system_labels	Take Out
192:$6A21	menus_and_system_labels	Throw
192:$6A25	menus_and_system_labels	Shoot
192:$6A28	menus_and_system_labels	Info
192:$6A2D	menus_and_system_labels	Name
192:$6A31	menus_and_system_labels	Place
192:$6A34	menus_and_system_labels	Exchange
192:$6A39	menus_and_system_labels	Pick Up
192:$6A3D	menus_and_system_labels	Set
192:$6A42	menus_and_system_labels	Step On
192:$6A45	menus_and_system_labels	Pick Up
192:$6A49	menus_and_system_labels	Modify
192:$6A4E	menus_and_system_labels	Discard
192:$6A52	menus_and_system_labels	Current Status
192:$6A56	menus_and_system_labels	Back
192:$6A5A	menus_and_system_labels	<26>Nothing inside.<26>
192:$6A69	menus_and_system_labels	<26>No abilities learned.<26>
192:$6A78	menus_and_system_labels	Shiren
192:$6A7C	menus_and_system_labels	    This cartridge is for<br>  Game Boy Color only.<br>  Please use a Game Boy Color.
192:$6AB0	menus_and_system_labels	   Yes<br>   No
192:$6ABD	menus_and_system_labels	You have no items.
192:$6ACB	menus_and_system_labels	Nothing is on the ground.
192:$6AD6	menus_and_system_labels	You cannot view the Map here.
192:$6AED	menus_and_system_labels	Items
192:$6AF1	menus_and_system_labels	Floor
192:$6AF6	menus_and_system_labels	Map
192:$6AFA	menus_and_system_labels	Hints
192:$6AFE	menus_and_system_labels	Trap
192:$6B01	menus_and_system_labels	Furthest Point
192:$6B09	menus_and_system_labels	Location
192:$6B0D	menus_and_system_labels	Strength
192:$6B11	menus_and_system_labels	Weapon
192:$6B14	menus_and_system_labels	Shield
192:$6B17	menus_and_system_labels	Fullness
192:$6B1D	menus_and_system_labels	Gitan
192:$6B21	menus_and_system_labels	Exp
192:$6B28	menus_and_system_labels	<empty>
192:$6B29	menus_and_system_labels	G
192:$6B2B	menus_and_system_labels	F
192:$6B2D	menus_and_system_labels	/
192:$6B2F	menus_and_system_labels	%
192:$6B32	menus_and_system_labels	Status
192:$6B38	menus_and_system_labels	Items
192:$6B3D	menus_and_system_labels	Cancel
192:$6B41	menus_and_system_labels	Stairs
192:$6B46	menus_and_system_labels	Step On
192:$6B49	menus_and_system_labels	Delete the current diary?<br>Are you sure?<br><hspace:18>Yes<hspace:40>No
192:$6B6C	menus_and_system_labels	Proceed
192:$6B70	menus_and_system_labels	Stay Here
192:$6B75	menus_and_system_labels	Choose an item.
192:$6B7D	menus_and_system_labels	Fan
192:$6B80	menus_and_system_labels	Abilities
192:$6B84	menus_and_system_labels	Back
192:$6B88	menus_and_system_labels	Pick Up
192:$6B8C	menus_and_system_labels	<empty>
192:$6B8D	menus_and_system_labels	Adventure
192:$6B96	menus_and_system_labels	New Game
192:$6B9F	menus_and_system_labels	Item Exchange
192:$6BA8	menus_and_system_labels	Delete Diary
192:$6BB1	menus_and_system_labels	Change Name
192:$6BBB	menus_and_system_labels	Rankings
192:$6BC6	menus_and_system_labels	Secrets
192:$6BCE	menus_and_system_labels	History
192:$6BD7	menus_and_system_labels	Wanderer Rank
192:$6BE3	menus_and_system_labels	Monster Log
192:$6BEC	menus_and_system_labels	Wanderer's Diary
192:$6BF5	menus_and_system_labels	Rescue Team
192:$6C01	menus_and_system_labels	Item Exchange
192:$6C0A	menus_and_system_labels	Give Item
192:$6C13	menus_and_system_labels	Receive Item
192:$6C1C	menus_and_system_labels	Name:<24>
192:$6C22	menus_and_system_labels	 Run
192:$6C26	menus_and_system_labels	Healthy
192:$6C2D	menus_and_system_labels	Status
192:$6C34	menus_and_system_labels	Balance
192:$6C39	menus_and_system_labels	Password
192:$6C3E	menus_and_system_labels	Cable
192:$6C43	menus_and_system_labels	You cannot suspend here.<br>Leave the warehouse first,<br>then suspend your adventure.
192:$6C69	menus_and_system_labels	Turn off the power,<br>then check again.
192:$6C8A	menus_and_system_labels	Your Diary data is corrupted.<br>Please select Reset.
192:$6CAF	menus_and_system_labels	Your Diary data is corrupted.<br>Turn off the power,<br>then try selecting Reset.
192:$6CDF	menus_and_system_labels	Your Diary data is corrupted.<br>Please turn off the power.
192:$6D01	menus_and_system_labels	The other player<br>was not ready to connect.
192:$6D1B	menus_and_system_labels	Communicating.<br>Please wait.
192:$6D34	menus_and_system_labels	The warehouse is empty.<br>Store an item, then<br>leave the warehouse once.
192:$6D61	menus_and_system_labels	The warehouse is full.<br>Remove an item, then<br>leave the warehouse once.
192:$6D8F	menus_and_system_labels	Connect the Link Cable.<br>When both players are ready,<br>press any button.
192:$6DC0	menus_and_system_labels	Item sent.
192:$6DCF	menus_and_system_labels	From <number:19:C5>:<br><number:1A:C5>
192:$6DE9	menus_and_system_labels	Send another item?<br><br><hspace:18>Yes<hspace:40>No
192:$6E05	menus_and_system_labels	Give an item in return?<br><br><hspace:18>Yes<hspace:40>No
192:$6E23	menus_and_system_labels	Communication error.<br>Please start over.
192:$6E4C	menus_and_system_labels	An error occurred while<br>writing the Diary.<br>Please start over.
192:$6E7A	menus_and_system_labels	If one player selects Send,<br>the other must select Receive.
192:$6EA4	menus_and_system_labels	Link modes differ.<br>Select the same mode<br>and start over.
192:$6ED7	menus_and_system_labels	Sent the SOS Password.<br>After the rescue, connect<br>the Link Cable again.
192:$6F11	menus_and_system_labels	Stop the Item Exchange?<br><br><hspace:18>Yes<hspace:40>No
192:$6F33	menus_and_system_labels	Lose all items and Gitan,<br>then return to town?<br><hspace:18>Yes<hspace:40>No
192:$6F61	menus_and_system_labels	Lose all items and Gitan,<br>then return to jail?<br><hspace:18>Yes<hspace:40>No
192:$6F90	menus_and_system_labels	Send
192:$6F94	menus_and_system_labels	Get
192:$6F99	menus_and_system_labels	Controls
192:$6F9D	menus_and_system_labels	Tech
192:$6FA3	menus_and_system_labels	Secrets
192:$6FA7	menus_and_system_labels	Quit
192:$6FAB	menus_and_system_labels	Control Guide
192:$6FB3	menus_and_system_labels	SOS Password:<br><cF8>0
192:$6FC6	menus_and_system_labels	Revival Password:<br><cF8>1
192:$6FDA	menus_and_system_labels	No Password is registered.
192:$6FF2	menus_and_system_labels	Congratulations!!<page><box>Return to the Rescue Team<br>and report your success!
192:$7019	menus_and_system_labels	Analysis failed.
192:$7028	menus_and_system_labels	Revival complete!<br>Select Continue<br>to resume the game.
192:$7052	menus_and_system_labels	Thank-You Password:<br><quoteOpen><cF8>2<quoteClose><br>Give it to your rescuer.
192:$707A	menus_and_system_labels	You will no longer be rescued.<br>Are you sure?<br><hspace:18>Yes<hspace:40>No
